CRN,Course,Days,Time,Location,Seats Still Available,STATUS
8476,MATH 451,W,1300-1350,LUTR 372,7,Open
8477,MATH 470,MWF,1200-1250,LUTR 242,14,Open
9037,MGMT 310,TR,1330-1445,LUTR 269,0,Closed
9038,MGMT 310,TR,1500-1615,LUTR 269,6,Open
9039,MGMT 355,TR,1100-1215,LUTR 123,0,Closed
9040,MGMT 355,TR,0800-0915,LUTR 105,13,Open
9041,MGMT 456,MW,1800-1915,LUTR 242,5,Open
9043,MGMT 491,MWF,1400-1450,LUTR 137,10,Open
9044,MGMT 491,MWF,0900-0950,LUTR 137,8,Open
9045,MGMT 491,MW,1600-1715,LUTR 131,17,Open
9278,MGMT 499,,,ARR ,0,Closed
9046,MKTG 310,TR,1100-1215,LUTR 142,1,Open
9047,MKTG 310,TR,0930-1045,LUTR 142,0,Closed
9048,MKTG 330,MWF,1100-1150,LUTR 269,0,Closed
9049,MKTG 330,MWF,1200-1250,LUTR 269,5,Open
9050,MKTG 420,TR,1500-1615,MCM 210,17,Open
9051,MKTG 470,TR,1630-1745,FORBES 3014,13,Open
9052,MKTG 470,TR,0930-1045,FERG 208,0,Closed
9087,MLAN 206,TR,1100-1215,MCM 162,0,Closed
9088,MLAN 308,MWF,1100-1150,MCM 212,8,Open
9089,MLAN 308,MWF,1400-1450,MCM 312,12,Open
9090,MLAN 310,MWF,1300-1350,MCM 357,4,Open
9091,MLAN 311,TR,1330-1445,FORBES 2088,16,Open
9092,MLAN 511,T,1630-1915,MCM 364,12,Open
8364,MLSC 102,TR,1100-1215,MCM 112,11,Open
8365,MLSC 102L,T,1500-1715,ARR ,11,Open
8366,MLSC 202,TR,0930-1045,MCM 112,6,Open
8367,MLSC 202L,T,1500-1715,ARR ,6,Open
8368,MLSC 302,TR,0800-0915,MCM 112,2,Open
8369,MLSC 302L,T,1500-1715,ARR ,2,Open
8370,MLSC 402,TR,1330-1445,MCM 112,5,Open
9264,MLSC 402,,,ARR ,0,Closed
8371,MLSC 402L,T,1500-1715,ARR ,4,Open
8198,MUSC 012,,,ARR ,53,Open
8199,MUSC 014,,,ARR ,0,Closed
8208,MUSC 014,,,ARR ,0,Closed
8209,MUSC 014,,,ARR ,0,Closed
8210,MUSC 014,,,ARR ,0,Closed
8211,MUSC 014,T,1230-1320,FERG R118,0,Closed
8212,MUSC 014,R,1230-1320,FERG A183,0,Closed
8213,MUSC 014,,,ARR ,0,Closed
8214,MUSC 014,,,ARR ,0,Closed
8215,MUSC 014,,,ARR ,0,Closed
8200,MUSC 014,W,1200-1250,FERG 213,0,Closed
8201,MUSC 014,,,ARR ,0,Closed
8202,MUSC 014,R,1230-1320,FERG R118,0,Closed
8203,MUSC 014,,,ARR ,0,Closed
8204,MUSC 014,,,ARR ,0,Closed
8205,MUSC 014,,,ARR ,0,Closed
8206,MUSC 014,,,ARR ,0,Closed
8207,MUSC 014,M,1200-1250,FERG R106,0,Closed
8216,MUSC 100,TR,1630-1745,FERG R118,21,Open
8217,MUSC 101,TR,1630-1820,FERG R106,20,Open
8218,MUSC 102,TR,1700-1820,FERG A183,42,Open
8219,MUSC 103,MWF,1300-1350,FERG R106,5,Open
8220,MUSC 104,MF,1200-1250,FERG 213,1,Open
8221,MUSC 104,WF,1100-1150,FERG R106,16,Open
8222,MUSC 105,MWF,1300-1430,FERG R118,0,Closed
8223,MUSC 108,MWF,1400-1450,FERG R106,10,Open
8224,MUSC 114,MW,1600-1750,FERG R106,31,Open
8225,MUSC 116,TR,1100-1215,FERG 213,0,Closed
8226,MUSC 116,TR,0930-1045,FERG 213,2,Open
8227,MUSC 122,,,ARR ,16,Open
8228,MUSC 123,W,2000-2200,FERG R106,85,Open
8229,MUSC 124,MWF,1500-1550,FERG R106,5,Open
8230,MUSC 127,,,ARR ,19,Open
8231,MUSC 136,MWF,0900-0950,FERG 210,15,Open
8232,MUSC 137,TR,1330-1445,FERG A182,6,Open
8233,MUSC 139,TR,1330-1445,FERG 213,8,Open
8234,MUSC 144,TR,1100-1215,FERG 207,2,Open
8235,MUSC 200,MWF,1100-1150,FERG 213,7,Open
8236,MUSC 205,TR,1330-1445,FERG R118,0,Closed
8237,MUSC 210,TR,0930-1045,FERG 210,1,Open
8238,MUSC 210,TR,1100-1215,FERG 210,1,Open
8239,MUSC 212,MWF,1000-1050,FERG 210,1,Open
8240,MUSC 216,TR,1500-1615,FERG 213,8,Open
8241,MUSC 230,MWF,0900-0950,FERG A183,4,Open
8242,MUSC 250,TR,0930-1045,FERG A182,19,Open
8243,MUSC 261,MWF,1500-1550,FERG A183,19,Open
8244,MUSC 266,MWF,1100-1150,FERG A183,17,Open
8245,MUSC 304,TR,0930-1045,FERG 207,7,Open
8246,MUSC 306,TR,1330-1445,FERG A183,5,Open
8247,MUSC 310,TR,1330-1445,FERG 222,13,Open
8248,MUSC 312,MWF,1100-1150,FERG 210,13,Open
8249,MUSC 315,MWF,1000-1050,FERG 213,6,Open
8250,MUSC 413,MWF,1400-1450,FERG 210,17,Open
8251,MUSC 417,TR,1330-1445,FERG 207,8,Open
8252,MUSC 490,MWF,1500-1550,FERG 210,16,Open
8253,MUSC 517,TR,1100-1215,FERG A182,17,Open
8254,MUSC 518,MW,1500-1615,FERG R118,18,Open
8630,NEUR 201,MWF,1400-1450,FORBES 2070E,23,Open
9129,NEUR 300,TR,0800-0915,FORBES 2090,0,Closed
9133,NEUR 300L,TR,1100-1215,FORBES 2090,0,Closed
9130,NEUR 301,MWF,1100-1150,FORBES 2002,7,Open
9131,NEUR 301L,M,1300-1545,FORBES 2002,7,Open
8631,NEUR 305,MWF,1000-1050,FORBES 2015,11,Open
8632,NEUR 420,TR,1330-1445,FORBES 2012,1,Open
8910,NEUR 480,MWF,1000-1050,FORBES 1033,8,Open
8633,NEUR 490,TR,1500-1615,FORBES 2088,7,Open
9171,NSCI 310,W,1700-1945,MCM 216,31,Open
8862,PCSE 572,MWF,1500-1550,LUTR 170,11,Open
9205,PCSE 595,MWF,1400-1450,MCM 110,3,Open
8863,PCSE 699,M,1200-1250,LUTR 322,12,Open
9229,PERC 132,,,ARR ,0,Closed
9230,PERC 134,,,ARR ,0,Closed
9231,PERC 332,,,ARR ,0,Closed
9232,PERC 333,,,ARR ,0,Closed
8283,PHIL 101,MW,1930-2045,MCM 160,0,Closed
8284,PHIL 101,MWF,0900-0950,MCM 216,0,Closed
8285,PHIL 201,MWF,0900-0950,MCM 212,0,Closed
8286,PHIL 201,MWF,1000-1050,MCM 212,0,Closed
8289,PHIL 202,TR,0930-1045,MCM 312,0,Closed
8290,PHIL 202,TR,1100-1215,MCM 360,0,Closed
8291,PHIL 202,TR,1330-1445,MCM 314,0,Closed
9197,PHIL 202,TR,1330-1445,LUTR 142,0,Closed
8294,PHIL 205,TR,1500-1615,MCM 101,23,Open
8295,PHIL 207,TR,0930-1045,MCM 101,0,Closed
9196,PHIL 207,MWF,1100-1150,FORBES 3014,0,Closed
9193,PHIL 207,TR,0800-0915,MCM 160,7,Open
9194,PHIL 207,MWF,0800-0850,MCM 362,14,Open
9195,PHIL 207,MWF,1200-1250,FORBES 3014,0,Closed
8301,PHIL 306,TR,1630-1745,MCM 314,0,Closed
8302,PHIL 308,TR,1100-1215,TRIB 1213,7,Open
8303,PHIL 312,MWF,1400-1450,MCM 366,0,Closed
8304,PHIL 315,MWF,1100-1150,MCM 200B,4,Open
8306,PHIL 326,TR,1100-1215,MCM 312,0,Closed
8307,PHIL 337,TR,0930-1045,TRIB 1213,0,Closed
8308,PHIL 348,MWF,1000-1050,MCM 200B,14,Open
9191,PHIL 384,TR,0800-0915,MCM 162,0,Closed
8309,PHIL 451,TR,1630-1745,MCM 366,8,Open
8310,PHIL 490,MWF,1300-1350,MCM 200D,13,Open
8864,PHYS 105L,R,1800-2045,SYN ,12,Open
8865,PHYS 105L,W,1800-2045,SYN ,6,Open
8866,PHYS 141,TR,1500-1615,FORBES 2015,0,Closed
9152,PHYS 144,TR,1800-1915,FORBES 2070D,0,Closed
8868,PHYS 151,TR,1100-1215,FORBES 2070C,0,Closed
8869,PHYS 151L,M,1800-2045,SYN ,3,Open
8870,PHYS 152,MW,1800-1915,LUTR 121,25,Open
8871,PHYS 152,TR,0930-1045,LUTR 121,24,Open
8872,PHYS 152L,W,1300-1545,LUTR 306,0,Closed
8873,PHYS 152L,W,1800-2045,LUTR 306,8,Open
8874,PHYS 152L,R,1800-2045,LUTR 306,0,Closed
8875,PHYS 152L,T,1800-2045,LUTR 306,0,Closed
8876,PHYS 152L,W,0900-1145,LUTR 306,23,Open
8877,PHYS 201,MWF,1000-1050,FORBES 3014,0,Closed
8878,PHYS 201L,M,1800-2045,LUTR 306,0,Closed
8879,PHYS 202,TR,0800-0915,LUTR 322,7,Open
8880,PHYS 202,TR,1330-1445,LUTR 322,0,Closed
8881,PHYS 202,TR,1500-1615,LUTR 258,3,Open
8882,PHYS 202L,R,0930-1215,LUTR 310,6,Open
8883,PHYS 202L,R,1800-2045,LUTR 310,1,Open
8884,PHYS 202L,W,1800-2045,LUTR 310,0,Closed
8885,PHYS 301,TR,1330-1445,LUTR 323,18,Open
8886,PHYS 340,TR,0930-1045,LUTR 323,14,Open
8887,PHYS 402,TR,1330-1445,LUTR 310,22,Open
8888,PHYS 406,MWF,1000-1050,LUTR 137,21,Open
8889,PHYS 431,MWF,1300-1350,LUTR 142,19,Open
8890,PHYS 498,MW,1800-1915,LUTR 322,3,Open
8891,PHYS 502,TR,1330-1445,LUTR 310,3,Open
8892,PHYS 506,MWF,1000-1050,LUTR 137,2,Open
8893,PHYS 521,TR,0800-0915,LUTR 170,5,Open
8894,PHYS 531,MWF,1300-1350,LUTR 142,3,Open
9234,PIAN 132,,,ARR ,0,Closed
9235,PIAN 232,,,ARR ,0,Closed
9236,PIAN 333,,,ARR ,0,Closed
9237,PIAN 434,,,ARR ,0,Closed
8624,PMED 010,TR,1230-1320,FORBES 1022,4,Open
8625,PMED 020,TR,1230-1320,FORBES 1022,4,Open
8626,PMED 030,TR,1230-1320,FORBES 1022,22,Open
8627,PMED 040,TR,1230-1320,FORBES 1022,18,Open
8690,POLS 100,TR,0930-1045,MCM 212,0,Closed
8691,POLS 100,TR,1330-1445,MCM 316,0,Closed
8692,POLS 101,MWF,1100-1150,MCM 101,0,Closed
8693,POLS 101,MW,1600-1715,MCM 160,0,Closed
8694,POLS 202,R,1800-2045,MCM 316,2,Open
8695,POLS 215,MWF,1100-1150,MCM 307,9,Open
8696,POLS 215,MWF,1000-1050,MCM 307,0,Closed
8697,POLS 215,TR,1630-1745,MCM 164,3,Open
8698,POLS 215,T,1800-2045,MCM 210,2,Open
8699,POLS 240,MW,1600-1715,MCM 162,0,Closed
8700,POLS 315,TR,0930-1045,MCM 114,0,Closed
8701,POLS 316,MWF,1300-1350,MCM 364,0,Closed
8702,POLS 316,MWF,1400-1450,MCM 364,0,Closed
8703,POLS 320,MWF,1000-1050,MCM 160,0,Closed
8704,POLS 322,MWF,1400-1450,MCM 360,3,Open
8705,POLS 333,TR,0930-1045,MCM 207,2,Open
8706,POLS 333,TR,1100-1215,MCM 207,0,Closed
8707,POLS 335,MWF,1100-1150,MCM 314,0,Closed
8708,POLS 338,TR,1100-1215,MCM 257,0,Closed
8709,POLS 340,TR,1330-1445,LUTR 131,0,Closed
8711,POLS 352,TR,0930-1045,MCM 110,5,Open
8712,POLS 352,TR,1100-1215,MCM 110,1,Open
8713,POLS 353,TR,1100-1215,MCM 200C,1,Open
8714,POLS 353,TR,1500-1615,MCM 316,6,Open
8715,POLS 371,W,1600-1845,MCM 210,3,Open
8716,POLS 380,TR,1330-1445,FERG 208,0,Closed
8717,POLS 380,TR,1500-1615,FERG 208,1,Open
9147,POLS 395,TR,1630-1745,MCM 110,0,Closed
8718,POLS 410,MWF,1300-1350,MCM 164,0,Closed
8719,POLS 454,TR,1500-1615,MCM 357,11,Open
8720,POLS 490,TR,1330-1445,MCM 200D,1,Open
8721,POLS 490,TR,1630-1745,MCM 316,0,Closed
8722,POLS 490,MWF,1200-1250,MCM 307,0,Closed
8723,POLS 491,,,ARR ,9,Open
8634,PSYC 201,MWF,1300-1350,FORBES 1022,0,Closed
8635,PSYC 201,TR,0930-1045,FORBES 1022,0,Closed
8636,PSYC 202,TR,1330-1445,FORBES 1022,47,Open
8637,PSYC 202,MWF,1400-1450,FORBES 1022,0,Closed
8638,PSYC 207,TR,1630-1745,FORBES 2070D,27,Open
8639,PSYC 207,TR,1500-1615,FORBES 2070D,7,Open
8640,PSYC 208,W,1800-2045,FORBES 2015,39,Open
8641,PSYC 208,TR,1330-1445,FORBES 2070E,0,Closed
8642,PSYC 208,TR,1500-1615,FORBES 2070E,15,Open
8643,PSYC 300,MWF,0800-0850,FORBES 2090,12,Open
8644,PSYC 300,MWF,0900-0950,FORBES 2090,0,Closed
8645,PSYC 300,MWF,1500-1550,FORBES 2090,23,Open
8646,PSYC 301,TR,1100-1215,FORBES 2009,1,Open
8647,PSYC 301,MWF,0900-0950,FORBES 2002,0,Closed
8648,PSYC 301,MWF,1000-1050,FORBES 2090,0,Closed
8649,PSYC 301,MWF,1300-1350,FORBES 2090,0,Closed
8650,PSYC 301L,TR,1330-1445,FORBES 2009,1,Open
8651,PSYC 301L,MWF,1000-1050,FORBES 2002,0,Closed
8652,PSYC 301L,MWF,1100-1150,FORBES 2090,0,Closed
8653,PSYC 301L,MWF,1400-1450,FORBES 2090,0,Closed
8654,PSYC 304,MWF,0900-0950,FORBES 2015,0,Closed
8655,PSYC 304,MWF,1100-1150,MCM 262,0,Closed
8656,PSYC 305,MWF,1000-1050,FORBES 2070A,0,Closed
8657,PSYC 306,MWF,0900-0950,FORBES 2074,37,Open
8658,PSYC 306,MWF,1000-1050,FORBES 2074,32,Open
9137,PSYC 309,TR,1500-1615,FORBES 2074,6,Open
8660,PSYC 312,TR,1630-1745,FORBES 2074,23,Open
8661,PSYC 314,TR,1100-1215,FORBES 2070A,0,Closed
8662,PSYC 314,TR,1330-1445,FORBES 2015,0,Closed
8663,PSYC 315,TR,0930-1045,FORBES 2074,0,Closed
8664,PSYC 315,TR,1100-1215,FORBES 2074,0,Closed
9138,PSYC 317,TR,0930-1045,FORBES 2070A,0,Closed
8666,PSYC 336,M,1800-2045,FORBES 2070E,0,Closed
8667,PSYC 350,TR,0800-0915,FORBES 2015,0,Closed
8668,PSYC 360,TR,1330-1445,FORBES 2070C,10,Open
9206,PSYC 395,MWF,1300-1350,MCM 160,23,Open
9149,PSYC 395L,TR,1100-1215,FORBES 2090,7,Open
8669,PSYC 405,MWF,0800-0850,FORBES 2009,0,Closed
8683,PSYC 405L,MWF,0900-0950,FORBES 2009,0,Closed
8670,PSYC 406,TR,1330-1445,FORBES 2002,0,Closed
8684,PSYC 406L,TR,1500-1615,FORBES 2002,0,Closed
8671,PSYC 408,MWF,1300-1350,FORBES 2070E,0,Closed
8685,PSYC 408L,M,1400-1645,FORBES 2009,0,Closed
8686,PSYC 408L,W,1400-1645,FORBES 2009,0,Closed
8672,PSYC 409,W,1800-2045,FORBES 2070E,1,Open
8687,PSYC 409L,TR,1800-1915,FORBES 2088,0,Closed
8688,PSYC 409L,TR,1630-1745,FORBES 2088,0,Closed
8673,PSYC 420,TR,1330-1445,FORBES 2070D,12,Open
8674,PSYC 430,TR,0930-1045,FORBES 2002,0,Closed
8689,PSYC 430L,TR,1100-1215,FORBES 2002,0,Closed
8675,PSYC 490,MWF,1400-1450,FORBES 2014,0,Closed
8676,PSYC 490,MWF,1300-1350,FORBES 2009,0,Closed
8677,PSYC 490,TR,0930-1045,FORBES 2009,0,Closed
8678,PSYC 490,MW,1600-1715,FORBES 2088,4,Open
8679,PSYC 491,MWF,1200-1250,FORBES 2012,1,Open
9150,PSYC 495,TR,1500-1615,FORBES 2014,0,Closed
9151,PSYC 495L,TR,1630-1745,FORBES 2015,0,Closed
9275,PSYC 499,,,ARR ,0,Closed
8681,PSYC 535,R,1630-1915,FORBES 2070E,5,Open
8682,PSYC 544,T,1630-1915,FORBES 2012,0,Closed
8311,RSTD 211,TR,1500-1615,MCM 257,0,Closed
9189,RSTD 211,MWF,0900-0950,MCM 362,0,Closed
9190,RSTD 211,TR,1630-1745,MCM 162,0,Closed
9192,RSTD 211,MWF,1200-1250,MCM 207,0,Closed
8313,RSTD 212,MW,1930-2045,MCM 314,0,Closed
8314,RSTD 212,MW,1800-1915,MCM 314,0,Closed
8317,RSTD 212,MWF,1200-1250,MCM 310,0,Closed
9188,RSTD 212,MWF,1100-1150,MCM 207,0,Closed
9200,RSTD 212,MW,1600-1715,MCM 314,0,Closed
8318,RSTD 232,MW,1600-1715,MCM 364,0,Closed
9186,RSTD 232,TR,1500-1615,MCM 307,0,Closed
9187,RSTD 232,TR,1330-1445,MCM 200B,0,Closed
8320,RSTD 270,MWF,1000-1050,MCM 200C,2,Open
8321,RSTD 312,TR,1100-1215,MCM 200B,2,Open
8323,RSTD 326,W,1800-2045,MCM 357,4,Open
9148,RSTD 395,W,1800-2045,MCM 114,5,Open
9201,RSTD 491,,,ARR ,0,Closed
9238,SAXO 132,,,ARR ,0,Closed
9239,SAXO 134,,,ARR ,0,Closed
9240,SAXO 233,,,ARR ,0,Closed
9241,SAXO 234,,,ARR ,0,Closed
8745,SOCL 201,TR,1100-1215,LUTR 121,0,Closed
8746,SOCL 205,TR,1100-1215,FORBES 3012,0,Closed
8747,SOCL 205,TR,1500-1615,FORBES 2070A,0,Closed
8748,SOCL 304,MW,1600-1715,LUTR 167,0,Closed
8749,SOCL 304,MW,1800-1915,LUTR 167,0,Closed
8750,SOCL 306,MWF,0900-0950,FORBES 2015,19,Open
8751,SOCL 306,MWF,1100-1150,MCM 262,5,Open
8752,SOCL 314,TR,1100-1215,FERG 201,3,Open
9274,SOCL 314,TR,1500-1615,TRIB 1210,3,Open
8753,SOCL 314L,W,1500-1615,LUTR 242,8,Open
8756,SOCL 316,TR,1630-1745,LUTR 167,0,Closed
8758,SOCL 331,TR,1800-1915,LUTR 264,0,Closed
8759,SOCL 340,MWF,0900-0950,LUTR 157,2,Open
8760,SOCL 340,MWF,1000-1050,LUTR 157,0,Closed
8761,SOCL 374,TR,1500-1615,LUTR 142,0,Closed
8764,SOCL 390,MWF,1100-1150,FORBES 2088,8,Open
9153,SOCL 395,MWF,0800-0850,LUTR 170,0,Closed
9154,SOCL 395,MWF,0900-0950,LUTR 170,0,Closed
8765,SOCL 470,TR,1500-1615,LUTR 167,3,Open
8766,SOCL 470,TR,0930-1045,LUTR 167,0,Closed
8767,SOCL 490,TR,0930-1045,LUTR 157,0,Closed
8768,SOCL 490,TR,0930-1045,LUTR 131,0,Closed
8769,SOCL 491,,,ARR ,0,Closed
8770,SOWK 201,TR,1100-1215,LUTR 269,0,Closed
8772,SOWK 211,TR,1330-1445,FORBES 2074,10,Open
8773,SOWK 302,TR,0930-1045,FORBES 3014,3,Open
8774,SOWK 303,TR,1800-1915,LUTR 376,3,Open
8775,SOWK 366,TR,0800-0915,LUTR 142,3,Open
8776,SOWK 402,M,1200-1350,MCM 200B,2,Open
8777,SOWK 402,W,1200-1350,MCM 200B,0,Closed
8778,SOWK 402,W,1200-1350,MCM 200C,1,Open
8779,SOWK 498,M,1800-2045,LUTR 157,3,Open
9095,SPAN 101,MWF,1300-1350,MCM 316,0,Closed
9096,SPAN 101,MWF,1400-1450,MCM 316,0,Closed
9097,SPAN 101,MWF,1100-1150,TFAC 204,0,Closed
9098,SPAN 102,MWF,1000-1050,MCM 262,0,Closed
9099,SPAN 102,MWF,0800-0850,MCM 257,0,Closed
9100,SPAN 102,MWF,0900-0950,MCM 257,0,Closed
9101,SPAN 102,MWF,1100-1150,MCM 364,0,Closed
9102,SPAN 102,MWF,1200-1250,MCM 364,0,Closed
9103,SPAN 200,MWF,0800-0850,MCM 207,0,Closed
9114,SPAN 200,TR,0930-1045,MCM 257,0,Closed
9115,SPAN 200,TR,1630-1745,MCM 260,0,Closed
9116,SPAN 200,TR,1800-1915,MCM 160,0,Closed
9117,SPAN 200,MW,1800-1915,MCM 162,0,Closed
9104,SPAN 200,MWF,0900-0950,MCM 207,0,Closed
9105,SPAN 200,MWF,1000-1050,MCM 207,0,Closed
9106,SPAN 200,TR,1100-1215,MCM 364,0,Closed
9107,SPAN 200,TR,1100-1215,MCM 260,0,Closed
9108,SPAN 200,TR,1330-1445,FERG 221,0,Closed
9109,SPAN 200,TR,1330-1445,MCM 307,0,Closed
9111,SPAN 200,TR,1500-1615,MCM 212,0,Closed
9118,SPAN 201,MWF,1200-1250,MCM 316,0,Closed
9119,SPAN 202,MWF,1100-1150,MCM 260,0,Closed
9120,SPAN 202,MWF,1300-1350,MCM 210,1,Open
9121,SPAN 301,TR,0930-1045,MCM 364,9,Open
9122,SPAN 302,MWF,0900-0950,MCM 262,2,Open
9123,SPAN 303,MWF,1200-1250,TRIB 1213,9,Open
9125,SPAN 340,TR,1330-1445,FERG 220,9,Open
9126,SPAN 352,TR,0930-1045,MCM 162,10,Open
9127,SPAN 472,MWF,1000-1050,MCM 260,11,Open
8895,TCHG 510,MTWRF,0800-1550,ARR ,0,Closed
8904,TCHG 510,MTWRF,0800-1550,ARR ,0,Closed
8896,TCHG 510,MTWRF,0800-1550,ARR ,0,Closed
8897,TCHG 510,MTWRF,0800-1550,ARR ,0,Closed
8898,TCHG 510,MTWRF,0800-1550,ARR ,0,Closed
8899,TCHG 510,MTWRF,0800-1550,ARR ,0,Closed
8900,TCHG 510,MTWRF,0800-1550,ARR ,0,Closed
8901,TCHG 510,MTWRF,0800-1550,ARR ,0,Closed
8902,TCHG 510,MTWRF,0800-1550,ARR ,0,Closed
8903,TCHG 510,MTWRF,0800-1550,ARR ,1,Open
9181,TCHG 511,,,ARR ,0,Closed
9183,TCHG 511,,,ARR ,0,Closed
9179,TCHG 511,,,ARR ,0,Closed
9182,TCHG 512,,,ARR ,0,Closed
9184,TCHG 512,,,ARR ,0,Closed
9180,TCHG 512,,,ARR ,0,Closed
8905,TCHG 580,MW,1600-1900,MCM 300B,2,Open
8906,TCHG 580,T,1600-1900,MCM 200C,4,Open
8907,TCHG 580,MW,1700-2000,MCM 316,3,Open
8255,THEA 130,,,ARR ,0,Closed
8256,THEA 130,,,ARR ,0,Closed
8257,THEA 130,,,ARR ,0,Closed
8263,THEA 232,MW,1600-1715,FERG T107,0,Closed
8264,THEA 232,TR,1630-1745,FERG T107,0,Closed
8265,THEA 250,TR,1100-1215,FERG 220,0,Closed
8266,THEA 250L,,,ARR ,2,Open
8267,THEA 250L,,,ARR ,19,Open
8268,THEA 252,MW,1100-1215,FERG 222,0,Closed
9162,THEA 258,MW,0930-1045,FERG 222,0,Closed
8269,THEA 311,MW,1330-1445,FERG 221,0,Closed
8270,THEA 332,MW,1300-1415,FERG T107,5,Open
8262,THEA 333,MW,1430-1545,FERG T107,5,Open
8271,THEA 336,TR,1100-1215,FERG T107,6,Open
8279,THEA 338,MW,1100-1215,FERG T107,0,Closed
8273,THEA 351,TR,0930-1045,FERG 223,5,Open
8272,THEA 354,TR,1500-1615,FERG 222,14,Open
8274,THEA 359,TR,1100-1215,FERG 222,11,Open
8275,THEA 380,,,ARR ,0,Closed
8276,THEA 380,MTWRF,1900-2300,FERG T107,0,Closed
8277,THEA 381,,,ARR ,0,Closed
8278,THEA 430,TR,1330-1445,FERG T107,8,Open
8281,THEA 491,,,ARR ,0,Closed
8282,THEA 498,,,ARR ,6,Open
9242,TRMB 132,,,ARR ,0,Closed
9243,TRPT 130,,,ARR ,0,Closed
9244,TRPT 132,,,ARR ,0,Closed
9245,TRPT 134,,,ARR ,0,Closed
9246,TUBA 132,,,ARR ,0,Closed
9247,TUBA 134,,,ARR ,0,Closed
9248,VIOL 334,,,ARR ,0,Closed
9249,VOIC 131,,,ARR ,0,Closed
9250,VOIC 134,,,ARR ,0,Closed
9251,VOIC 232,,,ARR ,0,Closed
9252,VOIC 332,,,ARR ,0,Closed
9253,VOIC 332,,,ARR ,0,Closed
9254,VOIC 431,,,ARR ,0,Closed
9255,VOIC 432,,,ARR ,0,Closed
9256,VOIC 434,,,ARR ,0,Closed
9269,VOLA 130,,,ARR ,0,Closed
9257,VOLA 332,,,ARR ,0,Closed
